Turma;Idade;Sexo;Orientação;Religião;Presenciou Bullyng;Meio de transporte;Tempo de locomoção;Passe Escolar;Dificuldade de chegar no Horário;Quem te acorda?;Renda Mensal;Programa Social;Situação Conjugal;Moradia;Escolaridade do Responsável;Situação Alimentar;Ocupação do responsável;Importância do Estudo;Horas de estudo diária;Português;Inglês;Espanhol;Artes;Educação Física;História;Geografia;Sociologia;Filosofia;Matemática;Física;Química;Biologia;Após o horário de aula;Livros por ano;Em relação a pergunta anterior, os livros que você lê são;Ensino Fundamental
1º C;17;Masculino;Heterossexual;Não sei;Não ;Carona;De 20 a 30 minutos;Não;Não;O seu responsável te acorda;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Não estudo em casa.;5;6;1;7;1;4;3;5;3;1;1;5;3;Somente Lazer;Três;Livros literários de minha preferência;Marieta Telles
3º B;16;Feminino;Heterossexual ;Não tem;Não ;A Pé;De 20 a 30 minutos;Não;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Não estudo em casa.;1;0;0;5;8;4;3;1;1;0;1;1;1;Trabalho;Nenhum;Nenhum;Presidente Arthur
1º B;15;Masculino;Heterossexual;;Não ;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Pai ou Mãe falecido;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Duas horas;6;4;6;9;6;9;9;9;9;10;9;7;8;Arrumar a casa;Quatro;Os indicados na escola, Livros literários de minha preferência;Presidente Arthur
1º B;15;Masculino;Heterossexual;Evangélica;Não ;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Sim;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;8;4;6;10;10;9;5;10;6;3;10;10;5;Arrumar a casa, Fazer atividade Física;Três;Livros científicos;Presidente Arthur
1º C;15;Feminino;Heterossexual;Católica ;;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Uma hora;8;8;3;9;10;9;10;8;7;7;7;8;9;Estudar, Fazer atividade Física;Um;Livros literários de minha preferência;Ecovam
2º A;16;Masculino;Heterossexual;Não tem;Não ;Carro próprio;De 10 a 20 minutos;Não;Sim;O seu responsável te acorda;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Menos de 1 hora;5;6;0;10;6;4;5;3;5;3;4;3;5;Arrumar a casa;Três;Livros literários de minha preferência, Mangas e rede social se aplicativos ;Amelia 
2º A;17;Masculino;;;Não ;Carro próprio;De 20 a 30 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;10;Uma hora;7;3;2;4;6;6;6;6;6;6;6;6;6;Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Dois;Os indicados na escola;Araújo Lima
3º B;17;Feminino;Heterossexual;Evangélica ;Não ;A Pé;Até 10 minutos;Não;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem separados;Alugada;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Não estudo em casa.;8;6;2;10;10;6;8;8;6;10;7;6;6;Arrumar a casa;Cinco ou mais;Manga;Eldorado 
2º C;16;Masculino;Heterossexual;Evangélica;Sim;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não sei;Vivem separados;Própria;Pós Graduação;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Uma hora;9;6;5;9;9;9;8;7;9;5;6;5;8;Arrumar a casa, Estudar;Dois;Os indicados na escola;Em outra cidade 
1º A;14;Feminino;Bissexual;Não tem;Não ;A Pé;De 30 minutos a uma hora;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem separados;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;4;0;0;4;9;7;8;8;7;3;3;5;5;Trabalho;Nenhum;Nenhum;Outro estado 
2º C;16;Feminino;Não sei;Cristão;Sim ;Carro próprio;De 10 a 20 minutos;Sim;As vezes;O seu responsável te acorda;De 1000 a 2000 reais;Não;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;2;2;1;5;3;3;2;2;2;3;2;2;1;Olhar os meus irmãos, Somente Lazer;Quatro;Livros literários de minha preferência;Araújo Lima
2º C;16;Masculino;Heterossexual;Cristão ;Não ;A Pé;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;De 1000 a 2000 reais;Não sei;Vivem juntos;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;8;Não estudo em casa.;6;10;10;0;0;5;7;7;5;8;9;8;7;Trabalho, Estudar;Nenhum;Nenhum;Presidente Arthur
2º A;16;Masculino;;;;Bicicleta;Até 10 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Pós Graduação;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;8;Duas horas;7;6;4;8;9;8;9;7;7;8;6;7;8;Fazer atividade Física;Quatro;Os indicados na escola;Ecovam
2º C;16;Masculino;Heterossexual;Cristão;Não ;Carro próprio;De 20 a 30 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;7;5;8;9;10;6;8;8;5;6;4;4;6;Arrumar a casa;Dois;Livros literários de minha preferência;Presidente Arthur
1º A;14;Feminino;;Cristão;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Sim;Não conhece pai ou mãe;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Está desempregado;10;Uma hora;8;5;9;7;9;8;7;7;5;9;4;4;7;Estudar, Fazer atividade Física, Somente Lazer;Dois;Os indicados na escola, Livros literários de minha preferência;Jalles Machado de Siqueira 
2º C;16;Masculino;Heterossexual;Ateu;Não ;Carro próprio;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;6;6;1;7;9;6;7;6;6;6;6;6;7;Arrumar a casa;Três;Livros literários de minha preferência;Araújo Lima
3º A;17;Feminino;Heterossexual;Evangélica;Não ;A Pé;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;De 3000 a 5000 reais;Sim;Vivem separados;Cedida;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Não estudo em casa.;3;0;0;1;10;4;4;2;0;0;0;0;2;Trabalho;Nenhum;Nenhum;Presidente Arthur
3º A;17;Masculino;Heterossexual;Cristão;Não ;Transporte coletivo;De 30 minutos a uma hora;Sim;As vezes;Você acorda sozinho;Até 1000 reais;Sim;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;5;9;10;10;10;7;7;6;7;8;8;0;6;Arrumar a casa, Estudar, Fazer atividade Física;Quatro;Os indicados na escola, Livros literários de minha preferência, Livros religiosos, Livros científicos, Auto-Ajuda;Antonio Alves Fortes
2º A;16;Masculino;Heterossexual;;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;10;Menos de 1 hora;7;7;9;10;10;9;8;8;8;8;8;7;9;Somente Lazer;Três;Os indicados na escola;Ecovam
1º A;15;Feminino;Não sei ;Cristão;Não ;A Pé;De 20 a 30 minutos;Sim;As vezes;Você acorda sozinho;De 5000 a 10000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha por conta própria;3;Não estudo em casa.;5;5;4;7;9;6;4;3;8;5;5;5;5;Arrumar a casa, Fazer atividade Física, hábitos,escrever,ler,desenhar e pintar;Dois;Auto-Ajuda;Presidente Arthur
2º B;17;Masculino;Heterossexual;Politeista;Não ;Transporte coletivo;De 30 minutos a uma hora;Sim;As vezes;Você acorda sozinho;Até 1000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;6;4;0;5;6;6;5;4;3;5;4;4;4;Arrumar a casa, Estudar;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
2º C;16;Masculino;Bissexual;;;A Pé;De 20 a 30 minutos;Não;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Pai ou Mãe falecido;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;7;Menos de 1 hora;8;7;8;9;10;10;7;7;7;5;5;6;9;Arrumar a casa, Somente Lazer;Dois;Os indicados na escola, Livros científicos;Ecovam
2º B;16;Masculino;Heterossexual;;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;8;7;7;10;10;10;9;9;9;7;6;6;9;Estudar;Dois;Livros literários de minha preferência;Ecovam
1º B;15;Masculino;Heterossexual;Católica;Não;Bicicleta;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Cedida;Ensino Superior;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;8;Uma hora;6;6;8;7;8;8;9;7;7;7;7;7;9;Arrumar a casa, Somente Lazer;Quatro;Os indicados na escola;Ecovam
1º B;15;Masculino;Heterossexual;Católica ;;A Pé;Até 10 minutos;Não;Não;O seu responsável te acorda;Até 1000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;10;Menos de 1 hora;8;8;8;10;10;8;10;10;10;8;8;8;10;Arrumar a casa, Estudar;Três;Os indicados na escola, Livros literários de minha preferência, Livros religiosos, Livros científicos;Ecovam
3º A;17;Masculino;Heterossexual;;;Carona;De 10 a 20 minutos;Não;Não;O seu responsável te acorda;Até 1000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Uma hora;6;5;2;7;7;6;4;5;6;5;6;7;6;Arrumar a casa, Olhar os meus irmãos, Estudar;Um;Os indicados na escola;Ecovam
;;;;;;Bicicleta;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Sim;Pai ou Mãe falecido;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Menos de 1 hora;6;3;6;6;7;6;5;5;4;7;5;3;5;Fazer atividade Física;Cinco ou mais;Livros literários de minha preferência;Presidente Arthur
