Turma;Idade;Sexo;Orientação;Religião;Presenciou Bullyng;Meio de transporte;Tempo de locomoção;Passe Escolar;Dificuldade de chegar no Horário;Quem te acorda?;Renda Mensal;Programa Social;Situação Conjugal;Moradia;Escolaridade do Responsável;Situação Alimentar;Ocupação do responsável;Importância do Estudo;Horas de estudo diária;Português;Inglês;Espanhol;Artes;Educação Física;História;Geografia;Sociologia;Filosofia;Matemática;Física;Química;Biologia;Após o horário de aula;Livros por ano;Em relação a pergunta anterior, os livros que você lê são;Ensino Fundamental
2º B;15;Feminino;Heterossexual;Crê em Deus;Não;A Pé;De 10 a 20 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Sim;Vivem separados;Própria;Não estudou;Todos os dias temos ao menos 3 refeições;Está desempregado;10;Duas horas;6;5;5;10;8;8;7;7;6;5;5;5;7;Somente Lazer;Nenhum;Nenhum;Ecovam
2º A;16;Feminino;Não sei;;Não;Carro próprio;Até 10 minutos;Não;Sim;O seu responsável te acorda;De 2000 a 3000 reais;Não;Vivem juntos;Alugada;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Uma hora;8;6;0;8;9;8;8;8;7;9;7;7;7;Arrumar a casa, Estudar, Somente Lazer;Quatro;Livros literários de minha preferência;Araújo Lima
2º A;15;Feminino;Heterossexual;Não tem;Não;Carro próprio;De 20 a 30 minutos;Não;Não;O seu responsável te acorda;Até 1000 reais;Não;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;7;5;8;9;9;7;7;8;8;3;4;5;8;Arrumar a casa, Estudar;Um;Livros literários de minha preferência;Sesi planalto 
3º A;16;Masculino;Heterossexual ;Evangélica;Sim;Carro próprio;Até 10 minutos;Sim;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;6;6;5;7;8;8;7;6;6;9;9;9;7;Estudar, Fazer atividade Física;Três;Livros literários de minha preferência;Cepi Pré Universitário, Intelectual, Colégio Guilherme Ramos
3º A;16;Masculino;Heterossexual ;Católica ;Sim;Carro próprio;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 3000 a 5000 reais;Não sei;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;6;6;5;7;8;7;8;6;6;10;9;8;7;Arrumar a casa, Estudar, Fazer atividade Física;Dois;Livros literários de minha preferência;Ecovam
2º B;15;Feminino;;Evangélica ;Não ;A Pé;Até 10 minutos;Sim;Não;O seu responsável te acorda;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos menos de 3 refeições;Está desempregado;9;Uma hora;8;8;8;9;10;8;8;8;8;7;8;8;8;Arrumar a casa, Estudar, Somente Lazer;Três;Livros religiosos;Manoel de Nazareth dos Santos 
1º A;15;Feminino;Heterossexual;Evangélica;Não ;Transporte coletivo;De 20 a 30 minutos;Sim;Não;O seu responsável te acorda;De 1000 a 2000 reais;Sim;Não conhece pai ou mãe;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;7;8;0;8;8;4;5;0;0;8;0;0;0;Arrumar a casa, Olhar os meus irmãos, Estudar;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência, Livros religiosos;Marieta Telles
2º C;16;Masculino;Heterossexual;;;A Pé;De 10 a 20 minutos;Não;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Sim;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;7;4;0;8;10;7;6;6;7;10;5;6;7;Arrumar a casa, jogar ff;Quatro;Os indicados na escola;Presidente Arthur
2º C;16;Masculino;Bissexual;;;Transporte coletivo;De 10 a 20 minutos;Sim;As vezes;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem juntos;Própria;Estudou até o 9º ano;Tem dias em que temos menos de 3 refeições;Tem emprego fixo;7;Não estudo em casa.;5;10;1;8;10;8;7;10;10;8;6;5;9;Arrumar a casa;Quatro;Os indicados na escola;São Damiano
3º B;16;Feminino;Bissexual;;Não;Carona;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Três horas;7;2;4;7;7;7;7;7;7;5;5;5;7;Arrumar a casa, Olhar os meus irmãos, Estudar, Fazer atividade Física;Três;Os indicados na escola;Presidente Arthur
3º B;17;Feminino;Bissexual;Não tem;Não;Moto;Até 10 minutos;Não;As vezes;O seu responsável te acorda;Até 1000 reais;Não sei;Vivem separados;Alugada;Ensino Superior;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;8;Não estudo em casa.;5;7;8;5;10;10;5;5;5;0;5;6;5;Trabalho, Arrumar a casa, Fazer atividade Física;Nenhum;Nenhum;Araújo Lima
3º B;16;Masculino;Heterossexual;Católica ;Não;Bicicleta;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Uma hora;8;7;6;8;10;8;8;7;7;9;8;7;7;Arrumar a casa, Olhar os meus irmãos, Fazer atividade Física;Três;Mangás ;Ecovam
3º A;17;Feminino;;;Não;Moto;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Uma hora;5;8;4;5;5;6;8;8;8;9;7;7;8;Arrumar a casa;Nenhum;Os indicados na escola;Araújo Lima
2º A;16;Neutro;Bissexual;Evangélica ;Sim;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Trabalha ocasionalmente;5;Não estudo em casa.;5;8;5;7;9;7;7;6;5;7;4;4;5;Arrumar a casa, Fazer atividade Física, Somente Lazer;Três;Os indicados na escola, Livros literários de minha preferência;São Damiano
1º B;15;Masculino;Heterossexual;Agnóstico ;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não sei;Vivem separados;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Uma hora;8;7;5;10;7;7;8;5;5;9;9;5;5;Arrumar a casa;Um;Os indicados na escola;Araújo Lima
1º C;14;Feminino;Heterossexual;Cristão;Não ;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem separados;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;8;9;1;9;8;8;9;3;4;6;6;5;7;Arrumar a casa, Estudar, Fazer atividade Física, Somente Lazer;Cinco ou mais;Livros literários de minha preferência, Livros religiosos, Livros científicos;Ecovam
